"Model","Mean_AUC_ratio","pval_pROC","Omission_rate_at_5%","AICc","delta_AICc","W_AICc","num_parameters"
"M_8_F_qpth_set1",1.50894174484818,0,0.02,6422.98623074384,78.4578102222795,1.37655723329067e-19,15
"M_8_F_qpth_set2",1.46882287459871,0,0.02,6454.58116078306,110.052740261498,1.92575071708558e-26,11
"M_8_F_lqpth_set1",1.52362533262837,0,0.02,6430.09453180877,85.5661112872085,4.05940339183609e-21,18
"M_8_F_lqpth_set2",1.47855545555323,0,0.02,6454.58116078306,110.052740261498,1.98618719524449e-26,11
"M_10_F_l_set1",1.18631015289094,0,0.02,6718.15078433086,373.622363809293,1.17888777436812e-83,3
"M_10_F_l_set2",1.15439771502866,0,0.08,6740.50024659628,395.97182607472,1.68007094319879e-88,3
"M_10_F_q_set1",1.44127051803662,0,0.02,6505.58041651937,161.051995997805,1.75636099459639e-37,4
"M_10_F_q_set2",1.45676310903323,0,0.02,6542.09290764218,197.564487120613,2.10493200221547e-45,3
"M_10_F_p_set1",1.46926865445424,0,0.02,6458.28835949288,113.759938971321,3.3767369559303e-27,6
"M_10_F_p_set2",1.47220961407093,0,0.02,6478.19195399469,133.663533473133,1.63661032823154e-31,3
"M_10_F_t_set1",1.21304997447834,0,0.04,6509.90773419225,165.37931367069,2.16042975473682e-38,13
"M_10_F_t_set2",1.38835899734638,0,0.02,6533.23654651102,188.708125989457,1.89006579630923e-43,10
"M_10_F_h_set1",1.51957398117969,0,0.02,6444.8938375643,100.365417042741,2.93573124815823e-24,20
"M_10_F_h_set2",1.53306177603972,0,0.02,6466.45741359787,121.928993076312,6.21232466027606e-29,15
"M_10_F_lq_set1",1.47821086689917,0,0.02,6479.23903259619,134.710612074627,1.06150050601872e-31,5
"M_10_F_lq_set2",1.4462867050284,0,0.02,6494.96171848748,150.433297965918,4.16963405042278e-35,5
"M_10_F_lp_set1",1.47848715558984,0,0.02,6458.42350204094,113.895081519374,3.6538335830711e-27,6
"M_10_F_lp_set2",1.47042943484684,0,0.02,6478.1919539355,133.663533413936,1.8998998477417e-31,3
"M_10_F_lt_set1",1.40256716256422,0,0.04,6501.87873967937,157.350319157805,1.39326243052303e-36,13
"M_10_F_lt_set2",1.34565068364966,0,0.08,6532.90393437599,188.375513854432,2.6061705411214e-43,9
"M_10_F_lh_set1",1.50865830710556,0,0.02,6447.82861245273,103.300191931169,7.92629597092501e-25,21
"M_10_F_lh_set2",1.51878315421337,0,0.02,6461.75654532057,117.228124799006,7.65690146088846e-28,13
"M_10_F_qp_set1",1.49530964990284,0,0.02,6446.01340112934,101.484980607775,2.05227753600143e-24,5
"M_10_F_qp_set2",1.48450176911653,0,0.02,6469.81457852166,125.286158000094,1.42460982040856e-29,4
"M_10_F_qt_set1",1.49331588667949,0,0.02,6480.92801266192,136.399592140357,5.6297797004409e-32,8
"M_10_F_qt_set2",1.46038091850674,0,0.02,6509.70275373642,165.174333214855,3.25402391344129e-38,5
"M_10_F_qh_set1",1.53559040129778,0,0.02,6441.05827098197,96.5298504604116,2.68482040014734e-23,18
"M_10_F_qh_set2",1.52939280378529,0,0.02,6477.73746294146,133.209042419898,2.98487577897607e-31,18
"M_10_F_pt_set1",1.47518900929307,0,0.02,6454.7118078195,110.183387297933,3.06164864362873e-26,7
"M_10_F_pt_set2",1.47014099989137,0,0.02,6476.29662321024,131.768202688678,6.46001460282271e-31,4
"M_10_F_ph_set1",1.48309244583233,0,0.04,6444.07840514008,99.5499846185148,6.57653501715805e-24,16
"M_10_F_ph_set2",1.46511104985775,0,0.02,6461.51402821958,116.985607698014,1.10633903149565e-27,7
"M_10_F_th_set1",1.52446154514733,0,0.02,6449.79494458647,105.266524064908,3.99010029887641e-25,22
"M_10_F_th_set2",1.53736774510278,0,0.02,6476.08371715945,131.555296637886,8.03782469487281e-31,19
"M_10_F_lqp_set1",1.50009343926161,0,0.02,6446.01146069051,101.483040168951,2.8074830179373e-24,5
"M_10_F_lqp_set2",1.47403679886793,0,0.02,6469.80864160725,125.280221085684,1.9692537930601e-29,4
"M_10_F_lqt_set1",1.51562640132539,0,0.02,6468.50356781273,123.975147291165,3.90483984433554e-29,7
"M_10_F_lqt_set2",1.44554016359944,0,0.02,6494.00800292361,149.479582402048,1.16883731495615e-34,5
"M_10_F_lqh_set1",1.54148038173326,0,0.02,6438.20231823207,93.6738977105033,1.58732107180629e-22,16
"M_10_F_lqh_set2",1.48014015504462,0,0.02,6472.54509677512,128.016676253555,5.73603735565231e-30,14
"M_10_F_lpt_set1",1.47984864958049,0,0.02,6454.7118078195,110.183387297933,4.43622427222924e-26,7
"M_10_F_lpt_set2",1.46978084220536,0,0.02,6476.29662321024,131.768202688678,9.47307035284827e-31,4
"M_10_F_lph_set1",1.4882456228119,0,0.04,6441.63017298174,97.1017524601748,3.3222457585641e-23,15
"M_10_F_lph_set2",1.45950659984118,0,0.02,6461.51402821958,116.985607698014,1.66584750079791e-27,7
"M_10_F_lth_set1",1.510882436465,0,0.02,6447.60997868504,103.081558163473,1.81786268508105e-24,21
"M_10_F_lth_set2",1.52952488278024,0,0.02,6476.08371715945,131.555296637886,1.24769579968779e-30,19
"M_10_F_qpt_set1",1.49936875572056,0,0.02,6446.46316344901,101.934742927447,3.53665332409129e-24,6
"M_10_F_qpt_set2",1.47099154615644,0,0.02,6469.82805374654,125.299633224977,3.13649984651039e-29,4
"M_10_F_qph_set1",1.51761771805478,0,0.02,6433.5627979199,89.0343773983341,2.47706308003411e-21,9
"M_10_F_qph_set2",1.47387638110716,0,0.02,6460.88333456782,116.354914046258,3.0562540314304e-27,6
"M_10_F_qth_set1",1.53532013305962,0,0.02,6438.73692606233,94.2085055407697,2.0865872145856e-22,17
"M_10_F_qth_set2",1.52546456111753,0,0.02,6475.07035450399,130.54193398243,2.8609032372468e-30,17
"M_10_F_pth_set1",1.47809331191241,0,0.04,6437.36424737299,92.8358268514303,4.70771163012211e-22,13
"M_10_F_pth_set2",1.46730822773892,0,0.02,6461.01170641409,116.48328589253,3.70139704297197e-27,7
"M_10_F_lqpt_set1",1.49993292286344,0,0.02,6446.46316344901,101.934742927447,5.75954948299277e-24,6
"M_10_F_lqpt_set2",1.46899962715773,0,0.02,6469.82805374654,125.299633224977,5.27597820222959e-29,4
